Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk
66364,8/31/2017 17:54,Standard Class,5,4,Late delivery,1
13304,7/19/2015 4:38,Standard Class,5,4,Late delivery,1
13273,7/17/2015 17:46,Standard Class,4,4,Shipping on time,0
14361,7/31/2015 14:56,Standard Class,2,4,Advance shipping,0
45816,11/1/2016 19:02,Standard Class,2,4,Advance shipping,0
65126,8/10/2017 16:11,Standard Class,2,4,Advance shipping,0
16717,9/5/2015 0:21,Standard Class,3,4,Advance shipping,0
42344,9/15/2016 2:38,Standard Class,5,4,Late delivery,1
11007,6/13/2015 15:53,Standard Class,3,4,Advance shipping,0
14522,8/3/2015 23:21,Standard Class,3,4,Advance shipping,0
13129,7/16/2015 15:19,Standard Class,5,4,Late delivery,1
45280,10/28/2016 23:15,Standard Class,6,4,Late delivery,1
68613,10/2/2017 13:50,Standard Class,4,4,Shipping on time,0
13106,7/13/2015 7:15,Standard Class,2,4,Advance shipping,0
48482,12/11/2016 17:03,Standard Class,3,4,Advance shipping,0
14793,8/8/2015 22:17,Standard Class,4,4,Shipping on time,0
67491,9/14/2017 4:45,Standard Class,2,4,Advance shipping,0
15113,8/13/2015 14:24,Standard Class,4,4,Shipping on time,0
16273,8/30/2015 12:48,Standard Class,4,4,Shipping on time,0
67350,9/16/2017 3:21,Standard Class,6,4,Late delivery,1
14653,8/6/2015 21:14,Standard Class,4,4,Shipping on time,0
14691,8/5/2015 10:33,Standard Class,2,4,Advance shipping,0
11566,6/20/2015 19:44,Standard Class,2,4,Advance shipping,0
67300,9/15/2017 9:50,Standard Class,6,4,Late delivery,1
15153,8/14/2015 4:25,Standard Class,4,4,Shipping canceled,0
10562,6/7/2015 3:59,Standard Class,3,4,Shipping canceled,0
18704,10/6/2015 0:29,Standard Class,5,4,Shipping canceled,0
16846,9/5/2015 21:33,Standard Class,2,4,Shipping canceled,0
45420,10/31/2016 0:17,Standard Class,6,4,Shipping canceled,0
14317,7/31/2015 23:31,Standard Class,3,4,Shipping canceled,0
13284,7/18/2015 21:37,Standard Class,5,4,Shipping canceled,0
13647,7/22/2015 4:48,Standard Class,3,4,Shipping canceled,0
66727,9/4/2017 1:05,Standard Class,3,4,Shipping canceled,0
14247,7/30/2015 23:00,Standard Class,3,4,Shipping canceled,0
58966,5/12/2017 18:03,Standard Class,2,4,Shipping canceled,0
5777,3/29/2015 7:35,Standard Class,3,4,Shipping canceled,0
2510,2/12/2015 15:00,Standard Class,6,4,Shipping canceled,0
2587,2/10/2015 17:59,Standard Class,3,4,Shipping canceled,0
1776,1/28/2015 21:51,Standard Class,2,4,Shipping canceled,0
51358,1/23/2017 16:38,Standard Class,4,4,Shipping canceled,0
4354,3/10/2015 13:02,Standard Class,5,4,Shipping canceled,0
61131,6/13/2017 8:33,Standard Class,2,4,Advance shipping,0
9913,5/29/2015 16:36,Standard Class,4,4,Shipping on time,0
6343,4/7/2015 13:53,Standard Class,4,4,Shipping on time,0
6723,4/13/2015 3:00,Standard Class,4,4,Shipping on time,0
53507,2/23/2017 1:32,Standard Class,3,4,Advance shipping,0
59327,5/19/2017 0:32,Standard Class,3,4,Advance shipping,0
335,1/11/2015 21:00,Standard Class,6,4,Late delivery,1
132,1/5/2015 21:53,Standard Class,3,4,Advance shipping,0
3470,2/26/2015 15:20,Standard Class,6,4,Late delivery,1
58641,5/8/2017 0:12,Standard Class,2,4,Advance shipping,0
54495,3/12/2017 11:40,Standard Class,6,4,Late delivery,1
59594,5/24/2017 22:04,Standard Class,5,4,Late delivery,1
60075,6/1/2017 22:35,Standard Class,6,4,Late delivery,1
53958,3/2/2017 15:32,Standard Class,4,4,Shipping on time,0
54618,3/12/2017 6:46,Standard Class,4,4,Shipping on time,0
51415,1/26/2017 12:36,Standard Class,6,4,Late delivery,1
58111,4/30/2017 6:31,Standard Class,2,4,Advance shipping,0
1769,1/31/2015 19:24,Standard Class,5,4,Late delivery,1
52326,2/4/2017 19:46,Standard Class,2,4,Advance shipping,0
53171,2/17/2017 3:49,Standard Class,2,4,Advance shipping,0
5498,3/26/2015 5:50,Standard Class,4,4,Shipping on time,0
51831,1/28/2017 14:21,Standard Class,2,4,Advance shipping,0
54535,3/13/2017 1:41,Standard Class,6,4,Late delivery,1
52862,2/13/2017 15:33,Standard Class,3,4,Advance shipping,0
59969,5/30/2017 9:27,Standard Class,5,4,Late delivery,1
1857,1/31/2015 2:14,Standard Class,3,4,Advance shipping,0
58278,5/4/2017 17:01,Standard Class,4,4,Shipping on time,0
60357,6/3/2017 1:23,Standard Class,3,4,Advance shipping,0
9775,5/29/2015 16:16,Standard Class,6,4,Late delivery,1
56156,4/1/2017 17:35,Standard Class,2,4,Advance shipping,0
55429,3/25/2017 2:53,Standard Class,5,4,Late delivery,1
5385,3/26/2015 14:15,Standard Class,6,4,Late delivery,1
2293,2/7/2015 10:59,Standard Class,4,4,Shipping on time,0
1610,1/30/2015 11:42,Standard Class,6,4,Late delivery,1
58435,5/9/2017 0:01,Standard Class,6,4,Late delivery,1
5884,4/1/2015 21:04,Standard Class,5,4,Late delivery,1
216,1/6/2015 3:19,Standard Class,2,4,Advance shipping,0
56802,4/12/2017 3:55,Standard Class,3,4,Advance shipping,0
56031,3/30/2017 21:48,Standard Class,2,4,Advance shipping,0
56801,4/11/2017 3:34,Standard Class,2,4,Advance shipping,0
60691,6/6/2017 22:24,Standard Class,2,4,Advance shipping,0
562,1/12/2015 4:32,Standard Class,3,4,Advance shipping,0
56397,4/6/2017 6:01,Standard Class,3,4,Advance shipping,0
57937,4/28/2017 17:33,Standard Class,3,4,Advance shipping,0
229,1/9/2015 7:52,Standard Class,5,4,Late delivery,1
9758,5/27/2015 10:18,Standard Class,4,4,Shipping on time,0
6676,4/10/2015 10:32,Standard Class,2,4,Advance shipping,0
57610,4/26/2017 22:59,Standard Class,6,4,Late delivery,1
55832,3/29/2017 0:05,Standard Class,3,4,Advance shipping,0
3150,2/21/2015 23:14,Standard Class,6,4,Late delivery,1
59693,5/25/2017 8:45,Standard Class,4,4,Shipping on time,0
58756,5/9/2017 16:29,Standard Class,2,4,Advance shipping,0
4616,3/11/2015 8:50,Standard Class,2,4,Advance shipping,0
9881,5/27/2015 5:24,Standard Class,2,4,Advance shipping,0
9104,5/18/2015 21:11,Standard Class,5,4,Late delivery,1
56351,4/4/2017 13:54,Standard Class,2,4,Advance shipping,0
57039,4/17/2017 14:57,Standard Class,5,4,Late delivery,1
1388,1/25/2015 5:55,Standard Class,4,4,Shipping on time,0
58592,5/8/2017 7:02,Standard Class,3,4,Advance shipping,0
9008,5/16/2015 11:33,Standard Class,4,4,Shipping on time,0
56253,4/5/2017 3:34,Standard Class,4,4,Shipping on time,0
1028,1/19/2015 23:48,Standard Class,4,4,Shipping on time,0
1317,1/23/2015 5:03,Standard Class,3,4,Advance shipping,0
2958,2/17/2015 3:58,Standard Class,4,4,Shipping on time,0
1438,1/25/2015 23:26,Standard Class,4,4,Shipping on time,0
6632,4/10/2015 19:08,Standard Class,3,4,Advance shipping,0
5467,3/24/2015 18:59,Standard Class,3,4,Advance shipping,0
7971,4/29/2015 8:14,Standard Class,2,4,Advance shipping,0
57956,4/28/2017 0:13,Standard Class,2,4,Advance shipping,0
4141,3/4/2015 10:25,Standard Class,2,4,Advance shipping,0
7528,4/24/2015 21:02,Standard Class,4,4,Shipping on time,0
61422,6/18/2017 14:30,Standard Class,3,4,Advance shipping,0
7402,4/22/2015 0:54,Standard Class,3,4,Advance shipping,0
53108,2/18/2017 5:44,Standard Class,4,4,Shipping on time,0
60582,6/6/2017 8:13,Standard Class,3,4,Advance shipping,0
52264,2/6/2017 22:03,Standard Class,5,4,Late delivery,1
52554,2/11/2017 3:39,Standard Class,5,4,Late delivery,1
3197,2/19/2015 15:42,Standard Class,3,4,Advance shipping,0
59280,5/21/2017 8:04,Standard Class,6,4,Late delivery,1
59259,5/20/2017 0:43,Standard Class,5,4,Late delivery,1
4593,3/13/2015 0:46,Standard Class,4,4,Shipping on time,0
8977,5/15/2015 0:41,Standard Class,3,4,Advance shipping,0
59253,5/18/2017 22:36,Standard Class,4,4,Shipping on time,0
61164,6/16/2017 20:07,Standard Class,5,4,Late delivery,1
9367,5/20/2015 17:19,Standard Class,3,4,Advance shipping,0
56433,4/7/2017 18:38,Standard Class,4,4,Shipping on time,0
51535,1/28/2017 6:39,Standard Class,6,4,Late delivery,1
4356,3/7/2015 13:45,Standard Class,2,4,Advance shipping,0
9114,5/19/2015 0:41,Standard Class,5,4,Late delivery,1
54482,3/9/2017 7:07,Standard Class,3,4,Advance shipping,0
59598,5/23/2017 23:29,Standard Class,4,4,Shipping on time,0
58696,5/8/2017 19:28,Standard Class,2,4,Advance shipping,0
55234,3/22/2017 6:34,Standard Class,5,4,Late delivery,1
60737,6/8/2017 14:31,Standard Class,3,4,Advance shipping,0
6772,4/12/2015 20:10,Standard Class,3,4,Advance shipping,0
59395,5/23/2017 0:21,Standard Class,6,4,Late delivery,1
57267,4/18/2017 22:49,Standard Class,3,4,Advance shipping,0
9920,5/31/2015 19:04,Standard Class,6,4,Late delivery,1
53854,3/2/2017 3:06,Standard Class,5,4,Late delivery,1
54300,3/9/2017 15:21,Standard Class,6,4,Late delivery,1
59075,5/18/2017 8:15,Standard Class,6,4,Late delivery,1
1929,2/3/2015 3:27,Standard Class,5,4,Late delivery,1
3698,2/27/2015 23:13,Standard Class,4,4,Shipping on time,0
54481,3/8/2017 6:46,Standard Class,2,4,Advance shipping,0
5324,3/24/2015 16:53,Standard Class,5,4,Late delivery,1
59012,5/14/2017 10:10,Standard Class,3,4,Advance shipping,0
61464,6/21/2017 5:13,Standard Class,5,4,Late delivery,1
55597,3/25/2017 13:45,Standard Class,3,4,Advance shipping,0
60259,6/3/2017 15:03,Standard Class,5,4,Late delivery,1
57664,4/26/2017 17:55,Standard Class,5,4,Late delivery,1
55380,3/25/2017 9:43,Standard Class,6,4,Late delivery,1
52668,2/11/2017 19:35,Standard Class,4,4,Shipping on time,0
2502,2/9/2015 12:12,Standard Class,3,4,Shipping canceled,0
10204,6/3/2015 22:33,Standard Class,5,4,Shipping canceled,0
10056,5/29/2015 18:42,Standard Class,2,4,Shipping canceled,0
60514,6/7/2017 8:23,Standard Class,5,4,Shipping canceled,0
60018,5/30/2017 2:37,Standard Class,4,4,Shipping canceled,0
52719,2/13/2017 13:27,Standard Class,5,4,Shipping canceled,0
5174,3/22/2015 12:19,Standard Class,5,4,Shipping canceled,0
54669,3/14/2017 0:38,Standard Class,5,4,Shipping canceled,0
58744,5/12/2017 12:17,Standard Class,5,4,Shipping canceled,0
1538,1/27/2015 10:28,Standard Class,4,4,Shipping canceled,0
10215,6/5/2015 2:25,Standard Class,6,4,Shipping canceled,0
2325,2/9/2015 22:12,Standard Class,6,4,Shipping canceled,0
26105,1/23/2016 1:23,Standard Class,6,4,Shipping canceled,0
25443,1/11/2016 9:27,Standard Class,4,4,Shipping canceled,0
45842,11/3/2016 4:08,Standard Class,3,4,Shipping canceled,0
30783,3/29/2016 8:18,Standard Class,4,4,Shipping on time,0
28661,2/25/2016 8:52,Standard Class,2,4,Advance shipping,0
23721,12/15/2015 6:10,Standard Class,2,4,Advance shipping,0
26534,1/28/2016 7:41,Standard Class,5,4,Late delivery,1
48973,12/19/2016 21:04,Standard Class,4,4,Shipping on time,0
21297,11/10/2015 20:56,Standard Class,3,4,Advance shipping,0
20566,10/30/2015 4:50,Standard Class,2,4,Advance shipping,0
20321,10/26/2015 15:00,Standard Class,2,4,Advance shipping,0
24382,12/25/2015 21:45,Standard Class,3,4,Advance shipping,0
50720,1/16/2017 9:07,Standard Class,6,4,Late delivery,1
31080,4/4/2016 16:21,Standard Class,6,4,Late delivery,1
26481,1/24/2016 13:07,Standard Class,2,4,Advance shipping,0
47364,11/27/2016 9:22,Standard Class,5,4,Late delivery,1
47090,11/24/2016 9:22,Standard Class,6,4,Late delivery,1
47851,12/1/2016 11:59,Standard Class,2,4,Advance shipping,0
26024,1/20/2016 21:00,Standard Class,5,4,Late delivery,1
24766,12/30/2015 12:16,Standard Class,2,4,Advance shipping,0
24263,12/25/2015 4:03,Standard Class,4,4,Shipping on time,0
22502,11/28/2015 11:06,Standard Class,3,4,Advance shipping,0
45493,10/30/2016 1:52,Standard Class,4,4,Shipping on time,0
30747,3/27/2016 19:41,Standard Class,3,4,Advance shipping,0
28987,3/2/2016 3:05,Standard Class,3,4,Advance shipping,0
30870,4/1/2016 14:47,Standard Class,6,4,Late delivery,1
20710,11/5/2015 7:17,Standard Class,6,4,Late delivery,1
47491,11/26/2016 5:51,Standard Class,2,4,Advance shipping,0
26759,1/31/2016 14:31,Standard Class,5,4,Late delivery,1
22533,11/29/2015 21:57,Standard Class,4,4,Shipping on time,0
41777,9/4/2016 19:59,Standard Class,3,4,Advance shipping,0
27559,2/12/2016 6:47,Standard Class,5,4,Late delivery,1
47394,11/27/2016 19:52,Standard Class,5,4,Late delivery,1
30336,3/20/2016 19:42,Standard Class,2,4,Advance shipping,0
20602,10/31/2015 17:26,Standard Class,3,4,Advance shipping,0
24597,12/29/2015 1:04,Standard Class,3,4,Advance shipping,0
22968,12/6/2015 6:21,Standard Class,4,4,Shipping on time,0
29875,3/18/2016 2:11,Standard Class,6,4,Late delivery,1
49836,12/30/2016 11:25,Standard Class,2,4,Advance shipping,0
30654,3/28/2016 11:06,Standard Class,5,4,Late delivery,1
23288,12/10/2015 22:28,Standard Class,4,4,Shipping on time,0
27388,2/8/2016 18:53,Standard Class,4,4,Shipping on time,0
21401,11/11/2015 9:22,Standard Class,2,4,Advance shipping,0
47440,11/29/2016 11:59,Standard Class,6,4,Late delivery,1
43465,10/2/2016 11:22,Standard Class,6,4,Late delivery,1
20488,10/31/2015 1:30,Standard Class,4,4,Shipping on time,0
20805,11/6/2015 16:34,Standard Class,6,4,Late delivery,1
24494,12/29/2015 12:59,Standard Class,5,4,Late delivery,1
22794,12/4/2015 17:24,Standard Class,5,4,Late delivery,1
20939,11/7/2015 15:30,Standard Class,5,4,Late delivery,1
26655,1/31/2016 2:05,Standard Class,6,4,Late delivery,1
30297,3/21/2016 6:02,Standard Class,3,4,Advance shipping,0
22719,12/3/2015 15:07,Standard Class,5,4,Late delivery,1
23757,12/16/2015 18:47,Standard Class,3,4,Advance shipping,0
28005,2/19/2016 19:02,Standard Class,6,4,Late delivery,1
28992,3/2/2016 4:50,Standard Class,3,4,Advance shipping,0
28789,3/1/2016 5:43,Standard Class,5,4,Late delivery,1
22375,11/29/2015 14:36,Standard Class,6,4,Late delivery,1
24648,12/30/2015 18:56,Standard Class,4,4,Shipping on time,0
30164,3/21/2016 7:26,Standard Class,5,4,Late delivery,1
43086,9/22/2016 22:35,Standard Class,2,4,Advance shipping,0
22536,11/27/2015 23:00,Standard Class,2,4,Advance shipping,0
30577,3/25/2016 8:08,Standard Class,3,4,Advance shipping,0
28603,2/26/2016 12:33,Standard Class,4,4,Shipping on time,0
41851,9/4/2016 21:55,Standard Class,2,4,Advance shipping,0
23049,12/8/2015 10:44,Standard Class,5,4,Late delivery,1
21335,11/14/2015 10:15,Standard Class,6,4,Late delivery,1
21000,11/9/2015 12:53,Standard Class,6,4,Late delivery,1
22884,12/6/2015 0:56,Standard Class,5,4,Late delivery,1
28051,2/16/2016 11:09,Standard Class,2,4,Advance shipping,0
50897,1/15/2017 23:08,Standard Class,3,4,Shipping canceled,0
32324,4/21/2016 20:11,Standard Class,5,4,Shipping canceled,0
35076,5/29/2016 0:20,Standard Class,2,4,Shipping canceled,0
38823,7/24/2016 17:04,Standard Class,4,4,Shipping canceled,0
35521,6/4/2016 12:14,Standard Class,2,4,Shipping canceled,0
31378,4/7/2016 0:45,Standard Class,4,4,Shipping canceled,0
31475,4/10/2016 10:44,Standard Class,6,4,Shipping canceled,0
38553,7/20/2016 18:28,Standard Class,4,4,Shipping on time,0
50876,1/14/2017 15:46,Standard Class,2,4,Advance shipping,0
41403,8/31/2016 8:57,Standard Class,4,4,Shipping on time,0
34519,5/23/2016 21:11,Standard Class,5,4,Late delivery,1
40951,8/22/2016 18:36,Standard Class,2,4,Advance shipping,0
37595,7/8/2016 18:51,Standard Class,6,4,Late delivery,1
34361,5/18/2016 13:50,Standard Class,2,4,Advance shipping,0
40433,8/17/2016 5:07,Standard Class,4,4,Shipping on time,0
34543,5/23/2016 5:36,Standard Class,4,4,Shipping on time,0
34282,5/18/2016 10:09,Standard Class,3,4,Advance shipping,0
34413,5/21/2016 8:03,Standard Class,4,4,Shipping on time,0
33115,5/4/2016 9:18,Standard Class,6,4,Late delivery,1
32144,4/19/2016 5:07,Standard Class,5,4,Late delivery,1
33403,5/6/2016 14:12,Standard Class,4,4,Shipping on time,0
34945,5/31/2016 2:26,Standard Class,6,4,Late delivery,1
31325,4/8/2016 6:11,Standard Class,6,4,Late delivery,1
34486,5/20/2016 9:37,Standard Class,2,4,Advance shipping,0
45279,10/27/2016 22:54,Standard Class,5,4,Late delivery,1
44507,10/14/2016 16:26,Standard Class,3,4,Advance shipping,0
44450,10/16/2016 20:27,Standard Class,6,4,Late delivery,1
44424,10/12/2016 11:21,First Class,2,1,Late delivery,1
43461,9/28/2016 9:58,Standard Class,2,4,Advance shipping,0
43416,9/26/2016 6:12,Same Day,1,0,Late delivery,1
42859,9/22/2016 15:03,Standard Class,5,4,Late delivery,1
42742,9/18/2016 22:04,Second Class,3,2,Late delivery,1
42517,9/15/2016 15:14,Second Class,3,2,Late delivery,1
42352,9/13/2016 5:26,Standard Class,3,4,Advance shipping,0
42262,9/10/2016 21:54,First Class,2,1,Late delivery,1
42106,9/8/2016 15:15,Standard Class,2,4,Advance shipping,0
42036,9/7/2016 14:43,Second Class,2,2,Shipping on time,0
41726,9/3/2016 2:07,Standard Class,2,4,Advance shipping,0
41711,9/2/2016 20:52,Standard Class,2,4,Advance shipping,0
41226,8/26/2016 18:57,Standard Class,2,4,Advance shipping,0
41103,8/26/2016 23:51,Standard Class,4,4,Shipping on time,0
40946,8/22/2016 16:51,Standard Class,2,4,Advance shipping,0
40889,8/24/2016 20:53,Standard Class,5,4,Late delivery,1
40759,8/22/2016 23:20,Standard Class,5,4,Late delivery,1
40738,8/19/2016 15:59,First Class,2,1,Late delivery,1
40455,8/19/2016 12:50,Second Class,6,2,Late delivery,1
40424,8/18/2016 1:58,Standard Class,5,4,Late delivery,1
40226,8/12/2016 4:36,Standard Class,2,4,Advance shipping,0
40175,8/15/2016 10:44,Standard Class,6,4,Late delivery,1
39850,8/10/2016 16:52,Standard Class,6,4,Late delivery,1
39259,8/1/2016 1:49,Standard Class,5,4,Late delivery,1
39203,7/30/2016 6:12,Standard Class,4,4,Shipping on time,0
39103,7/28/2016 19:10,Standard Class,4,4,Shipping canceled,0
39100,7/30/2016 18:07,Standard Class,6,4,Late delivery,1
39047,7/24/2016 11:33,Same Day,1,0,Late delivery,1
38902,7/24/2016 20:45,Standard Class,3,4,Advance shipping,0
38805,7/26/2016 10:46,Standard Class,6,4,Late delivery,1
38759,7/24/2016 18:39,Standard Class,5,4,Late delivery,1
38426,7/16/2016 21:59,First Class,2,1,Late delivery,1
38054,7/14/2016 11:39,Standard Class,5,4,Late delivery,1
38046,7/11/2016 8:51,Standard Class,2,4,Advance shipping,0
37904,7/12/2016 7:06,Standard Class,5,4,Late delivery,1
37652,7/6/2016 14:49,Standard Class,3,4,Advance shipping,0
37550,7/8/2016 3:05,Standard Class,6,4,Late delivery,1
37454,7/5/2016 17:27,Standard Class,5,4,Late delivery,1
37371,6/30/2016 0:22,Same Day,1,0,Late delivery,1
37132,6/29/2016 0:38,Standard Class,3,4,Advance shipping,0
37007,6/26/2016 4:51,First Class,2,1,Late delivery,1
36873,6/26/2016 5:54,Standard Class,4,4,Shipping on time,0
36442,6/18/2016 22:54,Second Class,3,2,Late delivery,1
36156,6/13/2016 18:42,Standard Class,2,4,Advance shipping,0
36128,6/15/2016 8:53,Second Class,4,2,Late delivery,1
36099,6/15/2016 22:44,Standard Class,5,4,Late delivery,1
35983,6/13/2016 6:05,Standard Class,4,4,Shipping on time,0
35795,6/7/2016 0:13,Same Day,1,0,Late delivery,1
35400,6/2/2016 17:50,First Class,2,1,Late delivery,1
35387,6/3/2016 13:17,Standard Class,3,4,Advance shipping,0
34438,5/21/2016 16:48,Second Class,4,2,Late delivery,1
34270,5/21/2016 5:57,Second Class,6,2,Late delivery,1
34097,5/14/2016 17:20,First Class,2,1,Shipping canceled,0
33902,5/12/2016 21:01,Standard Class,3,4,Advance shipping,0
33499,5/4/2016 11:50,Same Day,1,0,Late delivery,1
33440,5/9/2016 3:10,Standard Class,6,4,Late delivery,1
33082,4/30/2016 21:44,Standard Class,3,4,Advance shipping,0
32901,4/27/2016 6:20,Standard Class,2,4,Advance shipping,0
32873,4/28/2016 20:31,Standard Class,4,4,Shipping on time,0
32543,4/24/2016 0:54,Standard Class,4,4,Shipping on time,0
32192,4/17/2016 21:56,Standard Class,3,4,Advance shipping,0
32123,4/15/2016 21:46,First Class,2,1,Late delivery,1
31937,4/11/2016 16:36,Same Day,0,0,Shipping on time,0
31825,4/11/2016 13:21,First Class,2,1,Late delivery,1
31380,4/9/2016 1:27,Standard Class,6,4,Late delivery,1
31154,4/1/2016 18:17,First Class,2,1,Late delivery,1
31105,4/5/2016 1:07,Standard Class,6,4,Late delivery,1
30617,3/25/2016 22:08,Standard Class,3,4,Advance shipping,0
30265,3/23/2016 18:49,Second Class,6,2,Late delivery,1
30136,3/17/2016 21:37,Second Class,2,2,Shipping on time,0
29825,3/13/2016 8:40,First Class,2,1,Late delivery,1
29667,3/12/2016 1:19,Second Class,3,2,Late delivery,1
29659,3/13/2016 22:31,Second Class,5,2,Late delivery,1
29633,3/12/2016 13:24,Second Class,4,2,Late delivery,1
29599,3/10/2016 1:29,First Class,2,1,Late delivery,1
29379,3/6/2016 20:25,First Class,2,1,Late delivery,1
28840,3/2/2016 23:35,Second Class,6,2,Late delivery,1
28188,2/20/2016 11:09,Standard Class,4,4,Shipping on time,0
27993,2/17/2016 14:50,Second Class,4,2,Late delivery,1
27409,2/10/2016 2:14,Standard Class,5,4,Late delivery,1
27105,2/6/2016 15:44,Standard Class,6,4,Late delivery,1
26990,2/4/2016 23:26,Standard Class,6,4,Late delivery,1
26905,2/3/2016 17:40,Standard Class,6,4,Late delivery,1
26887,1/31/2016 11:21,Standard Class,3,4,Advance shipping,0
26264,1/24/2016 9:05,Standard Class,5,4,Late delivery,1
25874,1/18/2016 16:27,Standard Class,5,4,Late delivery,1
25514,1/13/2016 10:20,Standard Class,5,4,Late delivery,1
25482,1/10/2016 23:07,Standard Class,3,4,Advance shipping,0
25340,1/6/2016 9:22,Same Day,1,0,Late delivery,1
25110,1/4/2016 12:48,First Class,2,1,Late delivery,1
25007,1/4/2016 0:42,Standard Class,3,4,Advance shipping,0
25000,1/6/2016 22:15,Second Class,6,2,Late delivery,1
24918,1/3/2016 17:32,Standard Class,4,4,Shipping on time,0
24415,12/29/2015 9:18,Standard Class,6,4,Late delivery,1
24379,12/27/2015 20:41,Standard Class,5,4,Late delivery,1
24302,12/23/2015 17:43,First Class,2,1,Late delivery,1
24079,12/23/2015 11:35,Standard Class,5,4,Late delivery,1
24060,12/24/2015 4:56,Standard Class,6,4,Late delivery,1
23863,12/19/2015 7:55,Second Class,4,2,Late delivery,1
23684,12/17/2015 17:12,Second Class,5,2,Shipping canceled,0
23630,12/17/2015 22:17,Standard Class,6,4,Late delivery,1
23620,12/13/2015 18:47,First Class,2,1,Late delivery,1
23493,12/13/2015 22:17,Standard Class,4,4,Shipping on time,0
23413,12/10/2015 18:15,First Class,2,1,Late delivery,1
23316,12/9/2015 8:16,First Class,2,1,Late delivery,1
23129,12/5/2015 2:46,Same Day,1,0,Late delivery,1
23022,12/6/2015 1:16,Second Class,3,2,Late delivery,1
23012,12/5/2015 21:46,Standard Class,3,4,Advance shipping,0
22660,12/3/2015 18:27,Standard Class,6,4,Late delivery,1
22223,11/25/2015 9:21,Standard Class,4,4,Shipping on time,0
22207,11/24/2015 3:45,Standard Class,3,4,Advance shipping,0
22188,11/24/2015 21:05,Standard Class,4,4,Shipping canceled,0
21937,11/20/2015 5:09,Standard Class,3,4,Advance shipping,0
21611,11/14/2015 10:56,Standard Class,2,4,Advance shipping,0
20998,11/7/2015 12:11,Standard Class,4,4,Shipping on time,0
20757,11/2/2015 23:45,Standard Class,3,4,Advance shipping,0
20513,10/31/2015 10:16,Second Class,4,2,Late delivery,1
20476,10/28/2015 21:18,Second Class,2,2,Shipping on time,0
20374,10/30/2015 9:34,Standard Class,5,4,Late delivery,1
19830,10/19/2015 10:58,First Class,2,1,Late delivery,1
19743,10/20/2015 4:30,Standard Class,4,4,Shipping on time,0
19568,10/17/2015 15:11,Second Class,4,2,Late delivery,1
19061,10/6/2015 17:34,Same Day,0,0,Shipping on time,0
18904,10/8/2015 22:33,Standard Class,5,4,Late delivery,1
18311,9/27/2015 6:48,Standard Class,2,4,Advance shipping,0
18165,9/29/2015 3:39,Standard Class,6,4,Late delivery,1
17835,9/24/2015 8:02,Standard Class,6,4,Late delivery,1
17542,9/17/2015 1:23,Standard Class,3,4,Advance shipping,0
17425,9/18/2015 8:24,Standard Class,6,4,Late delivery,1
17219,9/14/2015 8:13,Standard Class,5,4,Late delivery,1
16974,9/10/2015 18:23,Standard Class,5,4,Late delivery,1
16791,9/5/2015 2:17,Standard Class,2,4,Advance shipping,0
16515,9/1/2015 1:35,First Class,2,1,Late delivery,1
16505,9/4/2015 22:05,Standard Class,6,4,Late delivery,1
16427,8/31/2015 18:45,Second Class,3,2,Late delivery,1
16317,8/30/2015 4:13,Second Class,3,2,Late delivery,1
16183,8/29/2015 5:16,Standard Class,4,4,Shipping on time,0
15778,8/23/2015 7:23,Standard Class,4,4,Shipping on time,0
15219,8/16/2015 3:32,Standard Class,5,4,Late delivery,1
15137,8/12/2015 22:48,Second Class,3,2,Shipping canceled,0
15116,8/11/2015 15:27,First Class,2,1,Late delivery,1
15073,8/13/2015 0:23,Standard Class,4,4,Shipping on time,0
14820,8/11/2015 7:45,Standard Class,6,4,Late delivery,1
14526,8/3/2015 0:45,Standard Class,2,4,Advance shipping,0
14170,8/1/2015 20:01,Standard Class,6,4,Late delivery,1
14121,7/28/2015 2:51,Standard Class,2,4,Advance shipping,0
14026,7/26/2015 17:34,First Class,2,1,Late delivery,1
13993,7/28/2015 6:01,Standard Class,4,4,Shipping on time,0
13356,7/16/2015 22:51,Standard Class,2,4,Advance shipping,0
12871,7/8/2015 8:56,Same Day,1,0,Late delivery,1
12854,7/12/2015 14:58,Second Class,5,2,Late delivery,1
12631,7/6/2015 8:51,First Class,2,1,Late delivery,1
12461,7/3/2015 21:17,First Class,2,1,Late delivery,1
12267,7/2/2015 1:19,Standard Class,3,4,Advance shipping,0
12250,6/29/2015 7:22,Same Day,1,0,Late delivery,1
12220,7/4/2015 8:51,Standard Class,6,4,Late delivery,1
12198,7/2/2015 1:09,Standard Class,4,4,Shipping on time,0
11827,6/25/2015 15:10,Standard Class,3,4,Advance shipping,0
11754,6/22/2015 1:35,Same Day,1,0,Late delivery,1
11176,6/13/2015 15:06,Same Day,0,0,Shipping on time,0
11022,6/13/2015 21:08,Standard Class,3,4,Advance shipping,0
10929,6/14/2015 12:33,Second Class,5,2,Late delivery,1
10909,6/14/2015 5:33,Second Class,5,2,Late delivery,1
10905,6/15/2015 4:09,Second Class,6,2,Late delivery,1
10589,6/9/2015 13:26,Standard Class,5,4,Late delivery,1
10464,6/4/2015 17:39,First Class,2,1,Late delivery,1
10085,5/30/2015 4:52,First Class,2,1,Late delivery,1
